Road,Name,startLRP,startOffset,startChainage,endLRP,,endOffset,endChainage,(Km),HeavyTruck,MediumTruck,SmallTruck,LargeBus,MediumBus,MicroBus,Utility,Car,AutoRickshaw,MotorCycle,Bi-Cycle,CycleRickshaw,Cart,TotalMotorized,TotalNonMotorized,TotalAADT
N2-23,Int.withR283-Chandipole(Int.withZ2013),LRP224,571,224.044,LRP225,1269,900,225.373,1.329,83,613,573,441,405,1002,49,356,3665,447,367,579,0,7634,946,8580
N2-24,Chandipole(Int.withZ2013)-Mominkhola(Int.withN208),LRP225,900,225.373,LRP226,1269,2264,227.757,2.384,83,613,573,441,405,1002,49,356,3665,447,367,579,0,7634,946,8580
N2-25,Mominkhola(Int.withN208)-Nayarpool(Int.withN206),LRP226,2264,227.757,LRP229,1269,2095,229.888,2.131,83,613,573,441,405,1002,49,356,3665,447,367,579,0,7634,946,8580
N2-26,Nayarpool(Int.withN206)-Int.withN210,LRP229,2095,229.888,LRP238,2251,1040,237.923,8.035,466,1425,360,8,190,1010,119,337,653,525,139,328,0,5093,467,5560
N2-27,Int.withN210-Darbast(Int.withZ2011),LRP238,1040,237.923,LRP263,2251,129,262.122,24.199,466,1425,360,8,190,1010,119,337,653,525,139,328,0,5093,467,5560
N2-28,Darbast(Int.withZ2011)-Tamabil(Int.withN212),LRP263,129,262.122,LRP282,2210,1155,282.098,19.976,453,1322,435,7,269,910,131,335,874,372,203,356,0,5108,559,5667
N2-29,Tamabil(Int.withN212)-Jaflong,LRP282,1155,282.098,LRP287,2031,578,286.516,4.418,462,1142,427,17,264,817,131,318,753,412,186,311,0,4743,497,5240
N104-1,Feni(TrankRoad)-Feni(MohipalChourasta)Int.withN1,LRPS,0,0,LRPS,1171,1878,1.878,1.878,90,675,406,217,379,517,61,174,4683,597,258,1328,0,7799,1586,9385
N104-2,Feni(Int.withN1)-Feni(Temohoni)Int.withZ1444,LRPS,1878,1.878,LRP004,1171,270,4.35,2.472,90,675,406,217,379,517,61,174,4683,597,258,1328,0,7799,1586,9385
N104-3,Feni(Temohoni)Int.withZ1444-Selonia(Int.withZ1443),LRP004,270,4.35,LRP008,1171,485,8.315,3.965,90,675,406,217,379,517,61,174,4683,597,258,1328,0,7799,1586,9385
N104-4,Selonia(Int.withZ1443)-Daganbhuiyan(Int.withZ1441),LRP008,485,8.315,LRP014,1171,994,14.809,6.494,90,675,406,217,379,517,61,174,4683,597,258,1328,0,7799,1586,9385
N104-5,Daganbhuiyan(Int.withZ1441)-Tulatali(Int.withZ1030),LRP014,994,14.809,LRP017,1313,230,17.13,2.321,67,820,426,322,205,281,44,90,4147,768,332,1228,8,7170,1568,8738
N104-6,Tulatali(Int.withZ1030)-Kallandi(Int.withZ1421),LRP017,230,17.13,LRP023,1313,923,23.823,6.693,67,820,426,322,205,281,44,90,4147,768,332,1228,8,7170,1568,8738
N104-7,Kallandi(Int.withZ1421)-Chowmohoni(Int.withZ1420),LRP023,923,23.823,LRP032,1313,2120,34.12,10.297,67,820,426,322,205,281,44,90,4147,768,332,1228,8,7170,1568,8738
N104-8,Chowmohoni(Int.withZ1420)-Chowmohoni(Int.withR142&R140),LRP032,2120,34.12,LRP032,1313,4033,36.033,1.913,67,820,426,322,205,281,44,90,4147,768,332,1228,8,7170,1568,8738
N104-9,Chowmohoni(Int.withR142&R140)-MaijdeeBazar(Int.withR143),LRP032,4033,36.033,LRP042,1934,1230,43.03,6.997,46,1263,625,975,565,755,147,357,3066,1066,270,447,0,8865,717,9582
N104-10,MaijdeeBazar(Int.withR143)-Maijdee(Int.withZ1429),LRP042,1230,43.03,LRP044,1934,1380,45.2,2.17,46,1263,625,975,565,755,147,357,3066,1066,270,447,0,8865,717,9582
N104-11,Maijdee(Int.withZ1429)-Sonapur,LRP044,1380,45.2,LRPE,1190,0,49.63,4.43,19,675,496,502,496,479,132,393,3681,1025,446,542,0,7898,988,8886
N106-1,Chittagong(OxygenMore)-Hathazari(Int.withR160),LRPS,0,0,LRP010,3393,2084,12.192,12.192,12,2672,709,757,741,750,289,1063,8817,1355,234,393,0,17165,627,17792
N106-2,Hathazari(Int.withR160)-Gohira(Int.withZ1619),LRP010,2084,12.192,LRP018,1138,1533,19.321,7.129,0,776,362,197,220,281,217,296,5481,1078,576,943,0,8908,1519,10427
N106-3,Gohira(Int.withZ1619)-Munshihat(Int.withZ1629),LRP018,1533,19.321,LRP024,1138,828,24.297,4.976,0,776,362,197,220,281,217,296,5481,1078,576,943,0,8908,1519,10427
N106-4,Munshihat(Int.withZ1629)-Raozan(Int.withZ1012),LRP024,828,24.297,LRP025,1138,820,25.278,0.981,0,776,362,197,220,281,217,296,5481,1078,576,943,0,8908,1519,10427
N106-5,Raozan(Int.withZ1012)-Ranirhat(Int.withZ1613),LRP025,820,25.278,LRP039,531,690,37.25,11.972,0,342,189,195,120,184,418,103,520,372,0,0,0,2443,0,2443
N106-6,Ranirhat(Int.withZ1613)-Gabtoli(Int.withZ1617),LRP039,690,37.25,LRP044,531,296,41.825,4.575,0,342,189,195,120,184,418,103,520,372,0,0,0,2443,0,2443
N106-7,Gabtoli(Int.withZ1617)-Ghagra(Int.withR161),LRP044,296,41.825,LRP051,531,147,48.879,7.054,0,342,189,195,120,184,418,103,520,372,0,0,0,2443,0,2443
N106-8,Ghagra(Int.withR161)-Manikchhari(Int.withR162),LRP051,147,48.879,LRP059,219,566,57.303,8.424,0,92,127,56,104,103,83,35,904,471,0,0,0,1975,0,1975
